Resource,Module,Quantity
azurerm_resource_group,ResourceGroup,5
azurerm_network_watcher,Network,3
azurerm_linux_virtual_machine,Compute,2
azurerm_network_interface,Network,2
azurerm_network_interface_security_group_association,Network,2
azurerm_network_security_group,Network,2
azurerm_network_security_rule,Network,2
azurerm_public_ip,Network,2
azurerm_virtual_network,Network,2
azurerm_subnet,Network,12
azurerm_storage_account,StorageAccount,1
azurerm_storage_container,StorageAccount,1
azurerm_monitor_action_group,Monitor,1
